decorated,owner_unit,n_emitters,method
?getCurrState@Piki@@QAEPAV?$AState@VPiki@@@@XZ,navi,3,ilk-range
?getCurrentLife@Boss@@QAEMXZ,KingAi,2,ilk-range
?getCurrentMotionCounter@AICreature@@UAEMXZ,simpleAI,3,ilk-range
?getCurrentMotionIndex@PaniAnimator@@QAEHXZ,tainapkid,14,ilk-range
?getCurrentMotionName@AICreature@@UAEPADXZ,simpleAI,3,ilk-range
?getCurrentMotionName@PaniPikiAnimator@@QAEPADXZ,navi,3,ilk-range
?getCurrentOption@PaniAnimator@@QAE_NH@Z,panipikianimmgr,2,ilk-range
?getCurrentState@Boss@@QAEHXZ,Kogane,16,ilk-range
?getCursorX@P2DTextBox@@QAEHXZ,ogDiary,5,link-order
?getCursorY@P2DTextBox@@QAEHXZ,ogDiary,5,link-order
?getCylinderHeight@Creature@@UAEMXZ,tekibteki,41,ilk-range
?getCylinderTypePtclCallBack@YTeki@@QAEPAV?$CallBack1@PAVparticleGenerator@zen@@@zen@@XZ,TAIhibaA,2,ilk-range
?getDamagePoint@Boss@@QAEMXZ,KingAi,6,ilk-range
?getDescent@P2DFont@@QAEHXZ,P2DFont,2,link-order
?getDirection@BTeki@@QAEMXZ,tekibteki,15,link-order
?getDororoGravity@YTeki@@QAEMXZ,TAIkabekuiC,2,ilk-range
?getDrive@BTeki@@QAEAAVVector3f@@XZ,taicollec,3,ilk-range
?getDriveLength@BTeki@@QAEMXZ,tekibteki,2,ilk-range
?getF@ParaMultiParameters@@QAEMH@Z,pcamcameramanager,38,ilk-range
?getF@PcamCameraParameters@@QAEMH@Z,pcamcameramanager,2,ilk-range
?getF@TekiParameters@@QAEMH@Z,tekibteki,35,ilk-range
?getF@TekiPersonality@@QAEMH@Z,tekibteki,13,ilk-range
?getFirstLink@PSUPtrList@@IBEPAVPSUPtrLink@@XZ,drawCommon,2,link-order
?getFlyingStayVelocity@TAIAflyingBase@@MAEMAAVTeki@@@Z,TAIkabekuiC,2,ilk-range
?getFlyingSwitch@YTeki@@QAE_NXZ,TAIusuba,3,ilk-range
?getFontColor@P2DTextBox@@QAEXAAVColour@@0@Z,drawWorldMap,3,link-order
?getFormationPri@Creature@@UAEHXZ,tekibteki,40,ilk-range
?getFov@NCamera@@QAEMXZ,newPikiGame,2,ilk-range
?getFrameCount@PaniAnimator@@QAEHXZ,panitestsection,2,ilk-range
?getFrameCounter@YTeki@@QAEMXZ,TAIotama,8,ilk-range
?getFrameCounterMax@YTeki@@QAEMXZ,TAIotama,3,ilk-range
?getFrameMax@TAIAmotionLoop@@MAEMAAVTeki@@@Z,TAIdororo,2,ilk-range
?getFrameMax@TAIAtimerReaction@@MAEMAAVTeki@@@Z,TAIotama,9,ilk-range
?getFrameTime@NSystem@@SAMXZ,panianimator,8,ilk-range
?getGradColor@P2DTextBox@@QBE?AVColour@@XZ,drawMenu,5,link-order
?getGroundFlag@DynCreature@@QAEEXZ,pelletMgr,3,ilk-range
?getHeight@Creature@@UAEMXZ,tekibteki,28,ilk-range
?getHeight@ItemCreature@@UAEMXZ,itemMgr,12,ilk-range
?getHeight@P2DFont@@QAEHXZ,P2DFont,2,ilk-range
?getHeight@P2DPane@@QAEJXZ,drawGameInfo,33,ilk-range
?getHeight@PUTRect@@QBEHXZ,drawGameInfo,39,link-order
?getHoldCreature@Creature@@QAEPAV1@XZ,navi,10,ilk-range
?getHolder@Creature@@QAEPAV1@XZ,creature,3,ilk-range
?getI@ParaMultiParameters@@QAEHH@Z,tekibteki,16,ilk-range
?getI@TekiParameters@@QAEHH@Z,tekibteki,14,ilk-range
?getI@TekiPersonality@@QAEHH@Z,tekibteki,5,ilk-range
?getID@?$AState@VAICreature@@@@QAEHXZ,itemMgr,12,ilk-range
?getID@?$AState@VNavi@@@@QAEHXZ,navi,6,ilk-range
?getID@?$AState@VPellet@@@@QAEHXZ,pelletMgr,2,ilk-range
?getID@?$AState@VPiki@@@@QAEHXZ,piki,2,ilk-range
?getInfo@Action@@UAEXPAD@Z,aiFree,30,ilk-range
?getInitPosition@Boss@@QAEPAVVector3f@@XZ,Kogane,11,link-order
?getItemColour@Boss@@QAEHXZ,KoganeAi,2,ilk-range
?getJointMatrix@CollPart@@QAE?AVMatrix4f@@XZ,pelletMgr,2,ilk-range
?getLoopCounter@Boss@@QAEHXZ,PomAi,5,ilk-range
?getLowerAnimator@PaniPikiAnimMgr@@QAEAAVPaniPikiAnimator@@XZ,navi,9,ilk-range
?getLowerRange@BTeki@@QAEMXZ,tekibteki,5,ilk-range
?getMax@CreatureNodeMgr@@UAEHXZ,itemMgr,2,ilk-range
?getMax@MonoObjectMgr@@UAEHXZ,tekimgr,7,ilk-range
?getMax@PolyObjectMgr@@UAEHXZ,itemMgr,2,ilk-range
?getMaxLife@Boss@@QAEMXZ,KingAi,2,ilk-range
?getMeltingPotMgr@ItemMgr@@QAEPAVMeltingPotMgr@@XZ,gameCoreSection,6,ilk-range
?getMotionSpeed@AICreature@@UAEMXZ,simpleAI,3,ilk-range
?getNestPosition@BTeki@@QAEAAVVector3f@@XZ,tekibteki,10,ilk-range
?getNextState@Boss@@QAEHXZ,KingAi,2,ilk-range
?getNumStickers@Stickers@@QAEHXZ,tainapkid,5,ilk-range
?getOnWall@Boss@@QAE_NXZ,KoganeAi,2,ilk-range
?getOwner@FormPoint@@QAEPAVCreature@@XZ,aiFormation,2,ilk-range
?getPaneTree@P2DPane@@QAEPAV?$PSUTree@VP2DPane@@@@XZ,drawCommon,4,link-order
?getParameter@SplineKeyFrame@@QAEMXZ,pevemotionevents,2,ilk-range
?getParameterF@BTeki@@QAEMH@Z,tekibteki,34,ilk-range
?getParameterF@PcamCamera@@QAEMH@Z,pcamcameramanager,2,ilk-range
?getParameterI@BTeki@@QAEHH@Z,tekibteki,10,ilk-range
?getPersonalityF@BTeki@@QAEMH@Z,tekibteki,13,ilk-range
?getPersonalityI@BTeki@@QAEHH@Z,tekibteki,5,ilk-range
?getPickOffset@DynCreature@@QAEMXZ,pelletMgr,5,ilk-range
?getPikiHeadMgr@ItemMgr@@QAEPAVPikiHeadMgr@@XZ,itemMgr,9,ilk-range
?getPikiNum@TAIAstickingPiki@@MAEHAAVTeki@@@Z,TAImiurin,2,ilk-range
?getPos@Generator@@QAE?AVVector3f@@XZ,generator,2,ilk-range
?getPosH@P2DPane@@QAEHXZ,drawGameOver,28,link-order
?getPosV@P2DPane@@QAEHXZ,drawGameOver,28,link-order
?getPosition@Creature@@QAEAAVVector3f@@XZ,pcamcameramanager,38,ilk-range
?getPosture@SplineKeyFrame@@QAEAAVNPosture3D@@XZ,pevemotionevents,2,ilk-range
?getPtclGenPtr@YTeki@@QAEPAVparticleGenerator@zen@@W4ptclIndexFlag@1@@Z,TAIhibaA,5,ilk-range
?getPtr@?$SmartPtr@VCreature@@@@QAEPAVCreature@@XZ,tekibteki,42,ilk-range
?getRand@NsMathF@@SAMM@Z,Boss,9,ilk-range
?getRand@NsMathI@@SAHH@Z,Boss,9,ilk-range
?getRebirthDay@Generator@@QAEHXZ,generator,2,link-order
?getRotate@P2DPane@@QAEMXZ,drawGameInfo,6,link-order
?getScale@P2DPane@@QAEAAVVector3f@@XZ,drawGameOver,5,link-order
?getScaleRate@BTeki@@QAEMXZ,tekibteki,9,ilk-range
?getSfxVol@GamePrefs@@QAEEXZ,gamePrefs,3,ilk-range
?getShadowPos@Creature@@UAE?AVVector3f@@XZ,tekibteki,40,ilk-range
?getShadowPos@Piki@@UAE?AVVector3f@@XZ,piki,2,ilk-range
?getShadowSize@Boss@@UAEMXZ,Boss,11,ilk-range
?getShape@DynCollShape@@UAEPAVShape@@XZ,mapMgr,3,ilk-range
?getSize@?$NArray@VNNode@@@@QAEHXZ,nlibsystem,3,ilk-range
?getSize@Creature@@UAEMXZ,tekibteki,30,ilk-range
?getSize@MonoObjectMgr@@UAEHXZ,tekimgr,7,ilk-range
?getSize@PolyObjectMgr@@UAEHXZ,itemMgr,2,ilk-range
?getStage@Bridge@@QAEHXZ,aiPerf,3,ilk-range
?getStatus@YTeki@@QAEHXZ,TAIAmove,2,ilk-range
?getStereoMode@GamePrefs@@QAE_NXZ,titles,4,ilk-range
?getStickObject@Creature@@QAEPAV1@XZ,tekibteki,17,ilk-range
?getStickPart@Creature@@QAEPAVCollPart@@XZ,tekibteki,4,ilk-range
?getString@P2DTextBox@@QAEPADXZ,drawFinalResult,8,link-order
?getTableIndex@YTeki@@QAEHXZ,TAIAmove,2,ilk-range
?getTargetCreature@Boss@@QAEPAVCreature@@XZ,KingAi,3,ilk-range
?getTargetPosition@Boss@@QAEPAVVector3f@@XZ,KoganeAi,5,ilk-range
?getTekiOption@BTeki@@QAE_NH@Z,tekibteki,13,ilk-range
?getTerritoryDistance@BTeki@@QAEMXZ,taikinoko,6,ilk-range
?getTime@PeveTimeCondition@@QAEMXZ,pcammotionevents,2,ilk-range
?getTurnVelocity@TAIAturnToTarget@@MAEMAAVTeki@@@Z,TAImiurin,4,ilk-range
?getTypeId@TekiMgr@@SAHH@Z,tekibteki,2,ilk-range
?getTypeName@TekiMgr@@SAPADH@Z,panitestsection,5,ilk-range
?getUp@NOrientation@@QAEAAVNVector3f@@XZ,pcamcamera,3,ilk-range
?getUpperAnimator@PaniPikiAnimMgr@@QAEAAVPaniPikiAnimator@@XZ,panitestsection,11,ilk-range
?getVelocity@TAIAapproachTargetPriorityFaceDir@@MAEMAAVTeki@@@Z,TAImiurin,4,ilk-range
?getVelocity@TAIAgoTarget@@MAEMAAVTeki@@@Z,TAImiurin,2,ilk-range
?getVibeMode@GamePrefs@@QAE_NXZ,titles,4,ilk-range
?getViewScale@RigidBody@@UAEMXZ,mapMgr,2,ilk-range
?getViewpoint@NCamera@@QAEAAVNVector3f@@XZ,newPikiGame,5,ilk-range
?getViewpoint@NPosture3D@@QAEAAVNVector3f@@XZ,pcamcamera,5,ilk-range
?getWatchpoint@NCamera@@QAEAAVNVector3f@@XZ,newPikiGame,5,ilk-range
?getWatchpoint@NPosture3D@@QAEAAVNVector3f@@XZ,pcamcamera,5,ilk-range
?getWhite@P2DPicture@@QAE?AVColour@@XZ,drawFinalResult,5,link-order
?getWidth@P2DFont@@QAEGXZ,P2DFont,2,ilk-range
?getWidth@P2DPane@@QAEJXZ,drawGameInfo,33,ilk-range
?getWidth@PUTRect@@QBEHXZ,drawGameInfo,39,link-order
?getWorkObjectPointer@YTeki@@QAEPAVWorkObject@@XZ,TAIAmove,2,ilk-range
?getiMass@Creature@@UAEMXZ,itemMgr,15,ilk-range
?hasContainer@PlayerState@@QAE_NH@Z,memoryCard,8,ilk-range
?hasNextState@TaiAction@@UAE_NXZ,taichappy,26,ilk-range
?hasRadar@PlayerState@@QAE_NXZ,playerState,3,ilk-range
?hasType@TekiMgr@@QAE_NH@Z,panitestsection,3,ilk-range
?hasUfoLeftControl@PlayerState@@QAE_NXZ,playerState,2,ilk-range
?hasUfoRightControl@PlayerState@@QAE_NXZ,playerState,2,link-order
?hide@P2DPane@@QAEXXZ,drawProgre,29,ilk-range
?hitCheckCulling@TAIeffectAttackEventCallBack@@UAE_NPAVparticleGenerator@zen@@PAVTAIeffectAttackParam@@PAVCreature@@@Z,tekiyteki,4,ilk-range
?hitCreature@TAIeffectAttackEventCallBack@@UAE_NPAVTAIeffectAttackParam@@PAVCreature@@@Z,tekiyteki,4,ilk-range
?hitCreature@TAIeffectAttackEventCallBack@@UAE_NPAVTAIeffectAttackParam@@PAVCreature@@VVector3f@@@Z,tekiyteki,4,ilk-range
?hitCreature@TAIeffectAttackEventCallBack@@UAE_NPAVparticleGenerator@zen@@PAVTAIeffectAttackParam@@PAVCreature@@VVector3f@@@Z,tekiyteki,4,ilk-range
?hitMap@TAIeffectAttackEventCallBack@@UAE_NPAVTAIeffectAttackParam@@@Z,tekiyteki,4,ilk-range
?ignoreAtari@Boss@@UAE_NPAVCreature@@@Z,Boss,11,ilk-range
?ignoreAtari@Creature@@UAE_NPAV1@@Z,itemMgr,20,ilk-range
?inDayEnd@PlayerState@@QAE_NXZ,gameCoreSection,5,ilk-range
?inPause@GameCoreSection@@SA_NXZ,itemMgr,2,ilk-range
?init@Animator@@QAEXPAVAnimContext@@PAVAnimMgr@@@Z,cinePlayer,2,ilk-range
?init@TAIeffectAttackParam@@QAEXXZ,tekiyteki,2,ilk-range
?init@YTeki@@UAEXH@Z,teki,2,link-order
?initBlack@P2DPicture@@QAEXXZ,P2DPicture,2,ilk-range
?initCollisions@RigidBody@@UAEXH@Z,mapMgr,2,link-order
?initCylinderTYpePtclCallBack@YTeki@@QAEXPAVTeki@@AAVVector3f@@V3@MMMMPAVTAIeffectAttackEventCallBack@@@Z,TAIhibaA,2,ilk-range
?initDimensions@DynObjBody@@UAEXMMM@Z,mapMgr,2,ilk-range
?initDimensions@RigidBody@@UAEXMMM@Z,mapMgr,2,link-order
?initParam@Creature@@UAEXH@Z,tekibteki,41,ilk-range
?initWhite@P2DPicture@@QAEXXZ,P2DPicture,2,ilk-range
?input@NPosture3D@@QAEXAAV1@@Z,nlibgeometry,3,ilk-range
?inputDirectionVector@BTeki@@QAEXAAVVector3f@@@Z,tainapkid,2,ilk-range
?inputDrive@BTeki@@QAEXAAVVector3f@@@Z,tekibteki,11,ilk-range
?inputPosition@Creature@@QAEXAAVVector3f@@@Z,tekibteki,7,ilk-range
?inputPosture@NCamera@@QAEXAAVNPosture3D@@@Z,pcamcamera,2,ilk-range
?inputVelocity@BTeki@@QAEXAAVVector3f@@@Z,tekibteki,10,ilk-range
?inputViewpoint@NCamera@@QAEXAAVVector3f@@@Z,pcamcamera,2,ilk-range
?inputViewpoint@NPosture3D@@QAEXAAVVector3f@@@Z,pcamcamera,5,ilk-range
?inputWatchpoint@NCamera@@QAEXAAVVector3f@@@Z,pcamcamera,2,ilk-range
?inputWatchpoint@NPosture3D@@QAEXAAVVector3f@@@Z,pcamcamera,5,ilk-range
?insertAfter@AnimKey@@QAEXPAV1@@Z,cinePlayer,13,ilk-range
?insideSafeArea@Creature@@UAE_NAAVVector3f@@@Z,tekibteki,42,ilk-range
?interpolate@NMathF@@SAMMMM@Z,pcamcamera,2,ilk-range
?invincible@NaviState@@UAE_NPAVNavi@@@Z,naviState,2,ilk-range
?invoke@?$Delegate1@VAnimKey@@AAVAgeServer@@@@UAEXAAVAgeServer@@@Z,cinePlayer,2,ilk-range
?invoke@KEffect@@UAE_NPAVparticleGenerator@zen@@@Z,navi,5,ilk-range
?invoke@KEffect@@UAE_NPAVparticleGenerator@zen@@PAVparticleMdl@3@@Z,navi,5,ilk-range
?invoke@KEffect@@UAE_NPAVparticleMdl@zen@@@Z,navi,5,ilk-range
?isAIActive@Creature@@QAE_NXZ,navi,2,ilk-range
?isAlive@Boss@@UAE_NXZ,Boss,11,ilk-range
?isAlive@Creature@@UAE_NXZ,itemMgr,16,ilk-range
?isAtari@Boss@@UAE_NXZ,Boss,11,ilk-range
?isAtari@Creature@@UAE_NXZ,itemMgr,19,ilk-range
?isBossBgm@Boss@@UAE_NXZ,Boss,9,ilk-range
?isBouncySphereType@CollPart@@QAE_NXZ,collInfo,2,ilk-range
?isBuried@Creature@@UAE_NXZ,tekibteki,39,ilk-range
?isChallengeMode@PlayerState@@QAE_NXZ,playerState,3,ilk-range
?isChallengeOpen@GamePrefs@@QAE_NXZ,titles,2,ilk-range
?isCollisionType@CollPart@@QAE_NXZ,collInfo,4,ilk-range
?isCreatureFlag@Creature@@QAE_NK@Z,mapMgr,70,ilk-range
?isDamaged@Creature@@QAE_NXZ,navi,7,ilk-range
?isDone@Iterator@@QAE_NXZ,tekimgr,66,ilk-range
?isFinished@PaniAnimator@@QAE_NXZ,panipikianimmgr,5,ilk-range
?isFinished@PeveEvent@@UAE_NXZ,pcammotionevents,4,ilk-range
?isFinishing@PaniAnimator@@QAE_NXZ,taiotimoti,12,ilk-range
?isFired@Piki@@QAE_NXZ,navi,2,ilk-range
?isFixed@Boss@@UAE_NXZ,Boss,11,ilk-range
?isFixed@Creature@@UAE_NXZ,tekibteki,28,ilk-range
?isFlying@Creature@@QAEHXZ,piki,5,ilk-range
?isFree@Creature@@UAE_NXZ,tekibteki,41,link-order
?isGrabbed@Creature@@QAE_NXZ,piki,4,ilk-range
?isHolding@Creature@@QAE_NXZ,navi,17,ilk-range
?isMotionFlag@PelletShapeObject@@QAE_NE@Z,playerState,2,ilk-range
?isNull@?$SmartPtr@VCreature@@@@QAE_NXZ,navi,25,ilk-range
?isObjType@Creature@@QAE_NH@Z,itemMgr,3,ilk-range
?isOrganic@Boss@@UAE_NXZ,Boss,11,ilk-range
?isOrganic@Creature@@UAE_NXZ,itemMgr,27,ilk-range
?isPaused@DynSimulator@@QAE_NXZ,mapMgr,2,ilk-range
?isPiki@Creature@@QAE_NXZ,pelletMgr,8,ilk-range
?isPlatformType@CollPart@@QAE_NXZ,collInfo,4,ilk-range
?isRopable@Creature@@UAE_NXZ,tekibteki,39,ilk-range
?isSluice@Creature@@QAE_NXZ,mapMgr,9,ilk-range
?isSphereType@CollPart@@QAE_NXZ,collInfo,2,ilk-range
?isStageOpen@GamePrefs@@QAE_NH@Z,mapSelect,3,link-order
?isStickTo@Creature@@QAE_NXZ,tainapkid,12,ilk-range
?isStickToMouth@Creature@@QAEHXZ,tainapkid,11,ilk-range
?isTeki@Creature@@QAE_NXZ,mapMgr,7,ilk-range
?isTubeType@CollPart@@QAE_NXZ,viewPiki,5,ilk-range
?isUfoParts@Pellet@@QAEHXZ,taicollec,3,ilk-range
?isUsingType@TekiMgr@@QAE_NH@Z,tekimgr,3,ilk-range
?isValidID@?$StateMachine@VNavi@@@@QAE_NH@Z,navi,2,ilk-range
?isVisible@Boss@@UAE_NXZ,Boss,10,ilk-range
?isVisible@Creature@@UAE_NXZ,itemMgr,16,ilk-range
?isZero@NMathF@@SA_NM@Z,nlibgeometry,4,ilk-range
?judgeDamage@TAIAdamage@@MAE_NAAVTeki@@@Z,TAIotama,11,ilk-range
?jumpCallback@Creature@@UAEXXZ,tekibteki,39,ilk-range
?kill@EffectMgr@@QAEXPAV?$CallBack1@PAVparticleGenerator@zen@@@zen@@PAV?$CallBack2@PAVparticleGenerator@zen@@PAVparticleMdl@2@@3@_N@Z,MizuAi,6,ilk-range
?kill@EffectMgr@@QAEXPAVparticleGenerator@zen@@_N@Z,cinePlayer,6,ilk-range
?kill@KEffect@@UAEXXZ,navi,5,ilk-range
?killAll@EffectMgr@@QAEXXZ,moviePlayer,2,ilk-range
?lagrange3@?$NsLibMath@M@@SAMPBMM@Z,KingAi,3,ilk-range
?length@NMathF@@SAMMM@Z,pcamcameramanager,9,ilk-range
?makeBodyQuat@RigidBody@@UAEXAAVQuat@@@Z,mapMgr,2,ilk-range
?makeEvent@PeveEvent@@QAEXPAVPeveCondition@@@Z,pcammotionevents,2,ilk-range
?mayIstick@Creature@@UAE_NXZ,tekibteki,39,ilk-range
?needFlick@Creature@@UAE_NPAV1@@Z,tekibteki,39,ilk-range
?needShadow@Boss@@UAE_NXZ,Boss,11,ilk-range
?next@Iterator@@QAEXXZ,tekimgr,66,ilk-range
?occurred@NMathF@@SA_NM@Z,tekibteki,4,ilk-range
?offstickCallback@Creature@@UAEXPAV1@@Z,tekibteki,42,ilk-range
?offwallCallback@Creature@@UAEXPAVDynCollObject@@@Z,tekibteki,39,ilk-range
?openMenu@BaseGameSection@@UAEXXZ,newPikiGame,2,ilk-range
?openStage@GamePrefs@@QAEXH@Z,mapSelect,2,ilk-range
?outputDirectionVector@BTeki@@QAEXAAVVector3f@@@Z,tekibteki,12,ilk-range
?outputDirectionVector@BTeki@@SAXMAAVVector3f@@@Z,tekibteki,12,link-order
?outputPosition@Creature@@QAEXAAVVector3f@@@Z,pcamcamera,4,ilk-range
?outputPosture@NCamera@@QAEXAAVNPosture3D@@@Z,pcamcamera,2,ilk-range
?place@P2DGrafContext@@UAEXHHHH@Z,drawGameInfo,21,link-order
?platAttachable@Creature@@UAE_NXZ,tekibteki,40,ilk-range
?playEffect@AICreature@@UAEXH@Z,itemMgr,16,ilk-range
?playEventSound@TAIeffectAttackEventCallBack@@UAEXPAVparticleGenerator@zen@@PAVTAIeffectAttackParam@@@Z,tekiyteki,4,ilk-range
?playSound@AICreature@@UAEXH@Z,itemMgr,15,ilk-range
?postUpdate@ModeState@@UAEXXZ,newPikiGame,2,ilk-range
?procAnimMsg@?$Receiver@VAICreature@@@@UAEXPAVAICreature@@PAVMsgAnim@@@Z,itemAI,3,ilk-range
?procAnimMsg@?$Receiver@VNavi@@@@UAEXPAVNavi@@PAVMsgAnim@@@Z,naviState,2,ilk-range
?procAnimMsg@?$Receiver@VPiki@@@@UAEXPAVPiki@@PAVMsgAnim@@@Z,aiFree,33,ilk-range
?procBounceMsg@?$Receiver@VAICreature@@@@UAEXPAVAICreature@@PAVMsgBounce@@@Z,itemAI,3,ilk-range
?procBounceMsg@?$Receiver@VNavi@@@@UAEXPAVNavi@@PAVMsgBounce@@@Z,naviState,2,ilk-range
?procBounceMsg@?$Receiver@VPiki@@@@UAEXPAVPiki@@PAVMsgBounce@@@Z,aiFree,34,ilk-range
?procCollideMsg@?$Receiver@VAICreature@@@@UAEXPAVAICreature@@PAVMsgCollide@@@Z,itemAI,3,ilk-range
?procCollideMsg@?$Receiver@VNavi@@@@UAEXPAVNavi@@PAVMsgCollide@@@Z,naviState,2,ilk-range
?procDamageMsg@?$Receiver@VAICreature@@@@UAEXPAVAICreature@@PAUMsgDamage@@@Z,itemAI,3,ilk-range
?procDamageMsg@?$Receiver@VNavi@@@@UAEXPAVNavi@@PAUMsgDamage@@@Z,naviState,2,ilk-range
?procDamageMsg@?$Receiver@VPiki@@@@UAEXPAVPiki@@PAUMsgDamage@@@Z,aiFree,34,ilk-range
?procGroundMsg@?$Receiver@VAICreature@@@@UAEXPAVAICreature@@PAUMsgGround@@@Z,itemAI,3,ilk-range
?procGroundMsg@?$Receiver@VNavi@@@@UAEXPAVNavi@@PAUMsgGround@@@Z,naviState,2,ilk-range
?procGroundMsg@?$Receiver@VPiki@@@@UAEXPAVPiki@@PAUMsgGround@@@Z,aiFree,34,ilk-range
?procHangMsg@?$Receiver@VAICreature@@@@UAEXPAVAICreature@@PAUMsgHang@@@Z,itemAI,3,ilk-range
?procHangMsg@?$Receiver@VNavi@@@@UAEXPAVNavi@@PAUMsgHang@@@Z,naviState,2,ilk-range
?procHangMsg@?$Receiver@VPiki@@@@UAEXPAVPiki@@PAUMsgHang@@@Z,aiFree,34,ilk-range
?procMsg@?$Receiver@VAICreature@@@@UAEXPAVAICreature@@PAVMsg@@@Z,itemAI,3,ilk-range
?procMsg@?$Receiver@VNavi@@@@UAEXPAVNavi@@PAVMsg@@@Z,naviState,2,ilk-range
?procMsg@?$Receiver@VPiki@@@@UAEXPAVPiki@@PAVMsg@@@Z,aiFree,34,ilk-range
?procOffWallMsg@?$Receiver@VAICreature@@@@UAEXPAVAICreature@@PAVMsgOffWall@@@Z,itemAI,3,ilk-range
?procOffWallMsg@?$Receiver@VNavi@@@@UAEXPAVNavi@@PAVMsgOffWall@@@Z,naviState,2,ilk-range
?procOffWallMsg@?$Receiver@VPiki@@@@UAEXPAVPiki@@PAVMsgOffWall@@@Z,aiFree,34,ilk-range
?procStickMsg@?$Receiver@VAICreature@@@@UAEXPAVAICreature@@PAVMsgStick@@@Z,itemAI,3,ilk-range
?procStickMsg@?$Receiver@VNavi@@@@UAEXPAVNavi@@PAVMsgStick@@@Z,naviState,2,ilk-range
?procStickMsg@?$Receiver@VPiki@@@@UAEXPAVPiki@@PAVMsgStick@@@Z,aiFree,34,ilk-range
?procTargetMsg@?$Receiver@VAICreature@@@@UAEXPAVAICreature@@PAVMsgTarget@@@Z,itemAI,3,ilk-range
?procTargetMsg@?$Receiver@VNavi@@@@UAEXPAVNavi@@PAVMsgTarget@@@Z,naviState,2,ilk-range
?procTargetMsg@?$Receiver@VPiki@@@@UAEXPAVPiki@@PAVMsgTarget@@@Z,aiFree,34,ilk-range
?procUserMsg@?$Receiver@VAICreature@@@@UAEXPAVAICreature@@PAUMsgUser@@@Z,itemAI,3,ilk-range
?procUserMsg@?$Receiver@VNavi@@@@UAEXPAVNavi@@PAUMsgUser@@@Z,naviState,2,ilk-range
?procUserMsg@?$Receiver@VPiki@@@@UAEXPAVPiki@@PAUMsgUser@@@Z,aiFree,34,ilk-range
?procWallMsg@?$Receiver@VAICreature@@@@UAEXPAVAICreature@@PAVMsgWall@@@Z,itemAI,3,ilk-range
?procWallMsg@?$Receiver@VNavi@@@@UAEXPAVNavi@@PAVMsgWall@@@Z,naviState,2,ilk-range
?procWallMsg@?$Receiver@VPiki@@@@UAEXPAVPiki@@PAVMsgWall@@@Z,aiFree,32,ilk-range
?ptclHitMap@TAIeffectAttackEventCallBack@@UAEXPAVparticleGenerator@zen@@PAVTAIeffectAttackParam@@@Z,tekiyteki,4,ilk-range
?r2d@NMathF@@SAMM@Z,panitestsection,2,ilk-range
?random@NSystem@@SAMXZ,nlibsystem,11,ilk-range
?rangeRandom@NMathF@@SAMMM@Z,pcammotionevents,3,ilk-range
?rangeRandom@NMathI@@SAHHH@Z,tekibteki,2,ilk-range
?rateRandom@NMathF@@SAMMM@Z,taipalm,3,ilk-range
?refresh2d@Creature@@UAEXAAVGraphics@@@Z,itemMgr,25,ilk-range
?registerMember@?$Factory@UGenObject@@@@QAEXKP6APAUGenObject@@XZPADK@Z,workObject,12,ilk-range
?removeChild@?$PSUTree@VP2DPane@@@@QAE_NPAV1@@Z,drawCommon,2,ilk-range
?reset@?$SmartPtr@VCreature@@@@QAEXXZ,tekibteki,39,ilk-range
?reset@PeveCondition@@UAEXXZ,peve,2,ilk-range
?reset@PeveEvent@@UAEXXZ,pcammotionevents,3,ilk-range
?resetCreatureFlag@Creature@@QAEXK@Z,tekibteki,38,ilk-range
?resetStateDamaged@Creature@@QAEXXZ,navi,2,ilk-range
?restart@?$AState@VNavi@@@@UAEXPAVNavi@@@Z,naviState,2,ilk-range
?restart@Action@@UAEXXZ,aiFree,33,ilk-range
?restart@KEffect@@UAEXXZ,navi,5,ilk-range
?resumable@Action@@UAE_NXZ,aiAction,31,ilk-range
?resume@?$AState@VNavi@@@@UAEXPAVNavi@@@Z,naviState,2,ilk-range
?resume@Action@@UAEXXZ,aiFree,33,ilk-range
?revice@?$NsLibMath@H@@SAHHHH@Z,KingAi,3,ilk-range
?revice@?$NsLibMath@M@@SAMMMM@Z,KingAi,4,ilk-range
?rotate@P2DPane@@QAEXHHW4P2DRotateAxis@@M@Z,drawGameInfo,4,link-order
?rotate@P2DPane@@QAEXW4P2DRotateAxis@@M@Z,drawGameInfo,9,link-order
?rotateZ@P2DPane@@QAEXHHM@Z,drawGameInfo,4,link-order
?rotateZ@P2DPane@@QAEXM@Z,drawWorldMap,2,link-order
?roughCulling@Creature@@QAE_NPAV1@M@Z,creature,2,link-order
?roundAngle@NMathF@@SAMM@Z,pcamcamera,4,ilk-range
?roundAngle@NsMathF@@SAMM@Z,Boss,2,link-order
?roundAzimuth@NPolar3f@@QAEXXZ,pcamcamera,2,ilk-range
?satisfy@SAICondition@@UAE_NPAVAICreature@@@Z,itemAI,3,ilk-range
?satisfy@TekiAndCondition@@UAE_NPAVCreature@@@Z,tekibteki,13,ilk-range
?sendMsg@Creature@@UAEXPAVMsg@@@Z,tekibteki,39,ilk-range
?set@?$ParaParameters@H@@QAEXHH@Z,pcamcameraparameters,25,ilk-range
?set@?$ParaParameters@M@@QAEXHM@Z,tekibteki,26,ilk-range
?set@?$SmartPtr@VCreature@@@@QAEXPAVCreature@@@Z,tekibteki,34,ilk-range
?set@P2DScreen@@QAEXPBD_N@Z,drawHurryUp,4,link-order
