decorated,owner_unit,n_emitters,method
??0SAIAction@@QAE@XZ,itemAI,2,ilk-range
??0SAICondition@@QAE@XZ,itemAI,3,ilk-range
??0SAIEvent@@QAE@XZ,itemAI,2,ilk-range
??0Section@@QAE@XZ,gameflow,11,ilk-range
??0Sphere@@QAE@AAVVector3f@@M@Z,piki,5,ilk-range
??0TAIAappearKabekui@@QAE@HHM_N@Z,TAIkabekuiC,3,ilk-range
??0TAIAapproachTargetPriorityFaceDir@@QAE@HH@Z,TAImiurin,4,link-order
??0TAIAattackableTarget@@QAE@H@Z,TAImiurin,4,link-order
??0TAIAcheckTurnAngle@@QAE@HM_N@Z,TAImiurin,2,link-order
??0TAIAdamage@@QAE@H_N@Z,TAIotama,11,ilk-range
??0TAIAdeadCheck@@QAE@H@Z,TAIotama,11,ilk-range
??0TAIAdying@@QAE@HH@Z,TAIotama,10,ilk-range
??0TAIAdyingCrushKabekui@@QAE@HHW4effTypeTable@EffectMgr@@@Z,TAIkabekuiC,3,link-order
??0TAIAdyingKabekui@@QAE@HHW4effTypeTable@EffectMgr@@@Z,TAIkabekuiC,3,ilk-range
??0TAIAeatPiki@@QAE@HH@Z,TAIkabekuiC,2,link-order
??0TAIAeffCloudOfDust@@QAE@HW4effTypeTable@EffectMgr@@HHMHHHHH@Z,TAImiurin,2,ilk-range
??0TAIAeffCloudOfDust@@QAE@HW4effTypeTable@EffectMgr@@HMHHHHH@Z,TAIdororo,2,ilk-range
??0TAIAflickCheck@@QAE@HH@Z,TAImiurin,4,ilk-range
??0TAIAflyingBase@@QAE@H@Z,TAIkabekuiC,2,ilk-range
??0TAIAflyingInTerritory@@QAE@HM@Z,TAIkabekuiC,2,ilk-range
??0TAIAgoTarget@@QAE@HH@Z,TAImiurin,2,link-order
??0TAIAgoTargetPriorityFaceDir@@QAE@HH@Z,TAIotama,5,link-order
??0TAIAhitCheckFlyingPiki@@QAE@H@Z,TAIkabekuiC,3,link-order
??0TAIAinWater@@QAE@H@Z,TAIkabekuiC,3,ilk-range
??0TAIAinWaterDamage@@QAE@HM_N@Z,TAIkabekuiC,3,link-order
??0TAIAinvincibleOff@@QAE@H@Z,TAIkabekuiC,4,link-order
??0TAIAinvincibleOn@@QAE@H@Z,TAIkabekuiC,3,link-order
??0TAIAmotionLoop@@QAE@HHM@Z,TAIdororo,2,ilk-range
??0TAIAnoReaction@@QAE@H@Z,TAImiurin,5,ilk-range
??0TAIAoutsideTerritory@@QAE@H@Z,TAImiurin,4,ilk-range
??0TAIArandomWalk@@QAE@HH@Z,TAIkabekuiC,5,ilk-range
??0TAIAsearchWorkObject@@QAE@H@Z,TAIkabekuiC,3,link-order
??0TAIAsetMotionSpeed@@QAE@HHM@Z,TAIkabekuiC,3,ilk-range
??0TAIAsetTargetPointCircle@@QAE@HM@Z,TAImiurin,2,ilk-range
??0TAIAsetTargetPointCircleRandom@@QAE@H@Z,TAIotama,4,ilk-range
??0TAIAsetTargetPointWorkObject@@QAE@H@Z,TAIkabekuiC,3,link-order
??0TAIAshadowOff@@QAE@H@Z,TAIkabekuiC,3,link-order
??0TAIAshadowOn@@QAE@H@Z,TAIkabekuiC,3,link-order
??0TAIAstickingPiki@@QAE@HH@Z,TAImiurin,2,ilk-range
??0TAIAstop@@QAE@H@Z,TAIotama,12,ilk-range
??0TAIAtimerReaction@@QAE@HM@Z,TAIotama,9,ilk-range
??0TAIAturnFocusCreature@@QAE@HHH_N@Z,TAImiurin,3,ilk-range
??0TAIAturnToTarget@@QAE@HHH_N@Z,TAImiurin,4,ilk-range
??0TAIAunvisibleTarget@@QAE@H@Z,TAImiurin,5,link-order
??0TAIAvisibleNavi@@QAE@H@Z,TAIotama,7,link-order
??0TAIAvisiblePiki@@QAE@H@Z,TAIdororo,6,ilk-range
??0TAIAwait@@QAE@HHM@Z,TAIdororo,2,link-order
??0TAIeffectAttackEventCallBack@@QAE@XZ,tekiyteki,4,ilk-range
??0TaiAccelerationAction@@QAE@XZ,taiotimoti,3,ilk-range
??0TaiAction@@QAE@H@Z,taichappy,25,ilk-range
??0TaiAndAction@@QAE@HPAVTaiAction@@0@Z,taichappy,2,ilk-range
??0TaiAnimationKeyAction@@QAE@HH@Z,taiotimoti,4,ilk-range
??0TaiAnimationSwallowingAction@@QAE@H@Z,taichappy,2,ilk-range
??0TaiAttackableNaviPikiAction@@QAE@H@Z,taichappy,3,ilk-range
??0TaiContinuousMotionAction@@QAE@HH@Z,taichappy,7,ilk-range
??0TaiCountLoopAction@@QAE@HH@Z,taishell,3,ilk-range
??0TaiCounterattackSimultaneousDamageAction@@QAE@H@Z,taichappy,3,ilk-range
??0TaiCreatureCollisionAction@@QAE@H@Z,taimizinko,2,ilk-range
??0TaiDamageAction@@QAE@H@Z,taiotimoti,6,ilk-range
??0TaiDamagingAction@@QAE@HH@Z,taiotimoti,6,ilk-range
??0TaiDeadAction@@QAE@H@Z,taichappy,8,ilk-range
??0TaiDyeAction@@QAE@XZ,taichappy,2,ilk-range
??0TaiDyingAction@@QAE@H@Z,taichappy,9,ilk-range
??0TaiFinishMotionAction@@QAE@H@Z,taichappy,6,ilk-range
??0TaiFinishStoppingMoveAction@@QAE@XZ,taichappy,3,ilk-range
??0TaiFlickAction@@QAE@H@Z,taichappy,4,ilk-range
??0TaiFlickingAction@@QAE@HH@Z,taichappy,2,ilk-range
??0TaiGoingHomeAction@@QAE@HM@Z,taichappy,4,ilk-range
??0TaiHeadOnCollisionAvoidanceAction@@QAE@M@Z,taicollec,2,link-order
??0TaiInsideTerritoryAction@@QAE@HM@Z,taichappy,4,ilk-range
??0TaiLifeDamageAction@@QAE@M@Z,taichappy,2,ilk-range
??0TaiMakingNextVelocityAction@@QAE@XZ,taiotimoti,3,ilk-range
??0TaiMotionAction@@QAE@HH@Z,taichappy,10,ilk-range
??0TaiNotAction@@QAE@HPAVTaiAction@@@Z,tainapkid,2,ilk-range
??0TaiOnceAction@@QAE@H@Z,taichappy,5,ilk-range
??0TaiOutsideTerritoryAction@@QAE@HM@Z,taichappy,4,ilk-range
??0TaiParabolaAction@@QAE@XZ,taiotimoti,2,ilk-range
??0TaiPlaySoundAction@@QAE@H@Z,taicollec,2,ilk-range
??0TaiRandomSetAnimationCounterAction@@QAE@HH@Z,taichappy,2,ilk-range
??0TaiRotatingAction@@QAE@M@Z,taicollec,2,link-order
??0TaiSetOptionAction@@QAE@H_N@Z,taishell,3,ilk-range
??0TaiSimultaneousDamageAction@@QAE@H@Z,taichappy,6,ilk-range
??0TaiSmashedAction@@QAE@H@Z,taichappy,2,ilk-range
??0TaiStartDyingAction@@QAE@XZ,taichappy,6,ilk-range
??0TaiStartingTimerAction@@QAE@HHMMM@Z,taiotimoti,2,link-order
??0TaiStopGenParticleGeneratorAction@@QAE@H@Z,tainapkid,2,ilk-range
??0TaiStopMoveAction@@QAE@XZ,taichappy,7,ilk-range
??0TaiStoppingMoveAction@@QAE@H@Z,taichappy,3,ilk-range
??0TaiSwitchMotionAction@@QAE@HH@Z,taichappy,3,link-order
??0TaiTargetLostAction@@QAE@H@Z,taichappy,3,ilk-range
??0TaiTargetNearestAssailantAction@@QAE@H@Z,taiotimoti,2,ilk-range
??0TaiTargetNearestCollisionAction@@QAE@H@Z,taiotimoti,2,ilk-range
??0TaiTargetNestAction@@QAE@XZ,taichappy,4,ilk-range
??0TaiTargetVisibleNaviPikiAction@@QAE@H@Z,taichappy,3,ilk-range
??0TaiTimerAction@@QAE@HHMM@Z,taichappy,9,ilk-range
??0TaiTimerElapsedAction@@QAE@HH@Z,taichappy,2,ilk-range
??0TaiTracingAction@@QAE@HM@Z,taichappy,4,ilk-range
??0TaiTurningToTargetPositionAction@@QAE@HHM@Z,taichappy,4,ilk-range
??0TaiTypeNaviWatchResultOnAction@@QAE@XZ,taiotimoti,5,ilk-range
??0TaiWarnAction@@QAE@XZ,taiotimoti,2,ilk-range
??0TekiAndCondition@@QAE@ABV0@@Z,taichappy,5,ilk-range
??0TekiAndCondition@@QAE@PAVCondition@@0@Z,tekibteki,13,ilk-range
??0TekiCondition@@QAE@ABV0@@Z,taichappy,6,link-order
??0TekiCondition@@QAE@XZ,tekibteki,18,ilk-range
