stem,lo_rva,hi_rva
navidemostate,0x14f590,0x151b60
aicrowd,0x151b60,0x1540a0
interactpullout,0x1540a0,0x1545c0
aibore,0x1545c0,0x156a80
gmwin,0x156a80,0x1587b0
airandomboid,0x1587b0,0x1595f0
aiwatch,0x1595f0,0x159c80
aiescape,0x159c80,0x15a3b0
aichase,0x15a3b0,0x15a840
aigoto,0x15a840,0x15b0f0
aipickcreature,0x15b0f0,0x15b900
aiput,0x15b900,0x15d9a0
aiformation,0x15d9a0,0x15eaa0
aiattack,0x15eaa0,0x161ab0
aishoot,0x161ab0,0x162810
aiguard,0x162810,0x163e60
aipullout,0x163e60,0x164990
aipick,0x164990,0x165570
aidecoy,0x165570,0x165d20
airope,0x165d20,0x166130
aienter,0x166130,0x166e10
aiexit,0x166e10,0x167670
aibreakwall,0x167670,0x168090
aimine,0x168090,0x168a10
aitransport,0x168a10,0x16eaf0
aikinoko,0x16eaf0,0x16fc60
aibridge,0x16fc60,0x171fc0
aipush,0x171fc0,0x172df0
airescue,0x172df0,0x173c20
aiweed,0x173c20,0x1746d0
aistone,0x1746d0,0x1751f0
aibomake,0x1751f0,0x175820
aibou,0x175820,0x176220
paniplantanimator,0x176220,0x176520
actormgr,0x176520,0x1768b0
mapparts,0x1768b0,0x177590
interactetc,0x177590,0x177700
aiactions,0x177700,0x1784b0
formationmgr,0x1784b0,0x17b340
actorai,0x17b340,0x17b8a0
actor,0x17b8a0,0x17bf20
hmrumblemgr,0x17bf20,0x17d7d0
boss,0x17d7d0,0x1808c0
bossmgr,0x1808c0,0x183ff0
genboss,0x183ff0,0x184d20
hmrumblesample,0x184d20,0x184e60
bosscnd,0x184e60,0x185100
bossanimmgr,0x185100,0x185160
mizu,0x185160,0x185e70
kingback,0x185e70,0x186890
pom,0x186890,0x1875f0
kogane,0x1875f0,0x1883c0
king,0x1883c0,0x18a130
corenucleus,0x18a130,0x18ab10
nucleus,0x18ab10,0x18b490
slime,0x18b490,0x18d6a0
snake,0x18d6a0,0x1908e0
spider,0x1908e0,0x192390
bossshapeobj,0x192390,0x1926b0
mizuai,0x1926b0,0x1938a0
pomai,0x1938a0,0x195740
koganeai,0x195740,0x197e30
kingbody,0x197e30,0x19a990
kingai,0x19a990,0x1a0990
corenucleusai,0x1a0990,0x1a1480
nucleusai,0x1a1480,0x1a1d30
slimebody,0x1a1d30,0x1a2e70
slimeai,0x1a2e70,0x1a74c0
slimecreature,0x1a74c0,0x1a7950
snakebody,0x1a7950,0x1ab0b0
snakeai,0x1ab0b0,0x1afa70
spiderleg,0x1afa70,0x1b47e0
spiderai,0x1b47e0,0x1b60a0
nscalculation,0x1b60a0,0x1b6900
effectmgr,0x1b6900,0x1b8f30
particlemanager,0x1b8f30,0x1ba3e0
drawprogre,0x1ba3e0,0x1baf80
drawhiscore,0x1baf80,0x1bbc70
gamecredits,0x1bbc70,0x1bbd30
gamestageclear,0x1bbd30,0x1bbde0
gamecourseclear,0x1bbde0,0x1bf770
drawgameinfo,0x1bf770,0x1c3980
drawgameover,0x1c3980,0x1c4a00
drawcountdown,0x1c4a00,0x1c5610
drawfinalresult,0x1c5610,0x1c74d0
