decorated,owner_unit,n_emitters,method
??4Font@@QAEAAV0@ABV0@@Z,graphics,6,ilk-range
??4GfxObject@@QAEAAV0@ABV0@@Z,graphics,13,ilk-range
??4GfxobjInfo@@QAEAAV0@ABV0@@Z,graphics,24,ilk-range
??4Graphics@@QAEAAV0@ABV0@@Z,graphics,9,ilk-range
??4ID32@@QAEAAV0@ABV0@@Z,graphics,24,ilk-range
??4LFlareGroup@@QAEAAV0@ABV0@@Z,graphics,12,ilk-range
??4Light@@QAEAAV0@ABV0@@Z,graphics,12,ilk-range
??4LightCamera@@QAEAAV0@ABV0@@Z,graphics,12,ilk-range
??4LightDataInfo@@QAEAAV0@ABV0@@Z,graphics,12,ilk-range
??4LightFlare@@QAEAAV0@ABV0@@Z,graphics,11,ilk-range
??4LightGroup@@QAEAAV0@ABV0@@Z,graphics,11,ilk-range
??4Material@@QAEAAV0@ABV0@@Z,graphics,11,ilk-range
??4MaterialHandler@@QAEAAV0@ABV0@@Z,graphics,11,ilk-range
??4Matrix4f@@QAEAAV0@ABV0@@Z,graphics,25,ilk-range
??4Node@@QAEAAV0@ABV0@@Z,graphics,24,ilk-range
??4ObjCollInfo@@QAEAAV0@ABV0@@Z,graphics,11,ilk-range
??4Plane@@QAEAAV0@ABV0@@Z,graphics,12,ilk-range
??4Quat@@QAEAAV0@ABV0@@Z,graphics,25,ilk-range
??4RamStream@@QAEAAV0@ABV0@@Z,graphics,27,ilk-range
??4RandomAccessStream@@QAEAAV0@ABV0@@Z,graphics,27,ilk-range
??4RectArea@@QAEAAV0@ABV0@@Z,graphics,11,ilk-range
??4RouteGroup@@QAEAAV0@ABV0@@Z,graphics,11,ilk-range
??4RouteLink@@QAEAAV0@ABV0@@Z,graphics,11,ilk-range
??4RoutePoint@@QAEAAV0@ABV0@@Z,graphics,11,ilk-range
??4SRT@@QAEAAV0@ABV0@@Z,graphics,25,ilk-range
??4ShapeDynMaterials@@QAEAAV0@ABV0@@Z,graphics,11,ilk-range
??4StdSystem@@QAEAAV0@ABV0@@Z,graphics,24,ilk-range
??4Stream@@QAEAAV0@ABV0@@Z,graphics,27,ilk-range
??4String@@QAEAAV0@ABV0@@Z,graphics,17,ilk-range
??4System@@QAEAAV0@ABV0@@Z,graphics,24,ilk-range
??4Texture@@QAEAAV0@ABV0@@Z,graphics,13,ilk-range
??4Timers@@QAEAAV0@ABV0@@Z,shapeBase,4,link-order
??4Vector2f@@QAEAAV0@ABV0@@Z,graphics,25,ilk-range
??4Vector2i@@QAEAAV0@ABV0@@Z,graphics,25,ilk-range
??4Vector3f@@QAEAAV0@ABV0@@Z,graphics,25,ilk-range
??G@YA?AVVector3f@@ABV0@0@Z,camera,4,ilk-range
??_EBaseApp@@UAEPAXI@Z,atx,4,ilk-range
??_FCoreNode@@QAEXXZ,graphics,24,ilk-range
??_FNode@@QAEXXZ,graphics,24,ilk-range
?Activate@StdSystem@@UAEX_N@Z,graphics,24,ilk-range
?CP@Vector3f@@QAEXAAV1@@Z,graphics,25,ilk-range
?Child@CoreNode@@QAEPAV1@XZ,graphics,24,ilk-range
?Child@CoreNode@@QAEXPAV1@@Z,graphics,24,ilk-range
?DP@Vector3f@@QAEMAAV1@@Z,graphics,25,ilk-range
?Done@AgeServer@@QAEXXZ,graphics,14,link-order
?EndBitGroup@AgeServer@@QAEXXZ,graphics,14,link-order
?EndGroup@AgeServer@@QAEXXZ,graphics,14,link-order
?EndNode@AgeServer@@QAEXXZ,graphics,14,link-order
?EndOptionBox@AgeServer@@QAEXXZ,graphics,14,link-order
?EndSection@AgeServer@@QAEXXZ,graphics,14,link-order
?InitApp@BaseApp@@UAEXPAD@Z,atx,4,ilk-range
?Name@CoreNode@@QAEPADXZ,graphics,24,ilk-range
?NewBit@AgeServer@@QAEXPADKK@Z,graphics,14,link-order
?NewButton@AgeServer@@QAEXPADPAV?$IDelegate1@AAVAgeServer@@@@H@Z,graphics,14,link-order
?NewButton@AgeServer@@QAEXPADPAVIDelegate@@H@Z,graphics,14,link-order
?NewEditor@AgeServer@@QAEXPAD0H@Z,graphics,14,link-order
?NewEditor@AgeServer@@QAEXPAD0HHH@Z,graphics,14,link-order
?NewEditor@AgeServer@@QAEXPADPAFHHH@Z,graphics,14,link-order
?NewEditor@AgeServer@@QAEXPADPAHHHH@Z,graphics,14,link-order
?NewEditor@AgeServer@@QAEXPADPAMMMH@Z,graphics,14,link-order
?NewEditor@AgeServer@@QAEXPADPAVAyuImage@@_N@Z,graphics,14,link-order
?NewEditor@AgeServer@@QAEXPADPAVColour@@@Z,graphics,14,link-order
?NewLabel@AgeServer@@QAEXPAD@Z,graphics,14,link-order
?NewNode@AgeServer@@QAEXPADPAVANode@@@Z,graphics,14,link-order
?NewNodeWindow@AgeServer@@QAEXPAD@Z,graphics,14,link-order
?NewOption@AgeServer@@QAEXPADH@Z,graphics,14,link-order
?NewPropWindow@AgeServer@@QAEXPADK@Z,graphics,14,link-order
?NewViewer@AgeServer@@QAEXPADPAH@Z,graphics,14,link-order
?NewViewer@AgeServer@@QAEXPADPAM@Z,graphics,14,link-order
?Next@CoreNode@@QAEPAV1@XZ,graphics,24,ilk-range
?Next@CoreNode@@QAEXPAV1@@Z,graphics,24,ilk-range
?Open@AgeServer@@QAE_NXZ,graphics,14,link-order
?Parent@CoreNode@@QAEPAV1@XZ,graphics,24,ilk-range
?RefreshNode@AgeServer@@QAEXXZ,graphics,14,link-order
?RefreshSection@AgeServer@@QAEXXZ,graphics,14,link-order
?Shutdown@StdSystem@@QAEXXZ,graphics,24,ilk-range
?StartGroup@AgeServer@@QAEXPAD@Z,graphics,14,link-order
?StartOptionBox@AgeServer@@QAEXPADPAHH@Z,graphics,14,link-order
?StartSection@AgeServer@@QAEXPAD_N@Z,graphics,14,link-order
?absF@@YAMM@Z,sysMath,2,link-order
?add2@Vector3f@@QAEXAAV1@0@Z,graphics,25,ilk-range
?add@Vector3f@@QAEXAAV1@0@Z,graphics,25,ilk-range
?add@Vector3f@@QAEXAAV1@@Z,graphics,25,ilk-range
?add@Vector3f@@QAEXMMM@Z,graphics,25,ilk-range
?addLFlare@LFlareGroup@@QAEXAAVColour@@AAVVector3f@@AAVVector2f@@PAV4@3@Z,graphics,12,ilk-range
?addLight@Graphics@@QAEXPAVLight@@@Z,graphics,9,ilk-range
?ageChangeID@ID32@@QAEXXZ,id32,24,ilk-range
?attach@GfxObject@@UAEXXZ,graphics,13,ilk-range
?attach@GfxobjInfo@@UAEXXZ,graphics,24,ilk-range
?bounce@Vector3f@@QAEXAAV1@M@Z,graphics,25,ilk-range
?close@AgeServer@@UAEXXZ,graphics,14,link-order
?close@BufferedInputStream@@UAEXXZ,streamBufferedInput,2,link-order
?compileMaterial@Graphics@@UAEKPAVMaterial@@@Z,graphics,9,link-order
?concat@Node@@UAEXAAVMatrix4f@@@Z,graphics,24,ilk-range
?concat@Node@@UAEXAAVSRT@@@Z,graphics,24,ilk-range
?concat@Node@@UAEXAAVVQS@@@Z,graphics,24,ilk-range
?concat@Node@@UAEXXZ,graphics,24,ilk-range
?contains@String@@QAE_NPAD@Z,graphics,17,ilk-range
?contains@String@@SA_NPADD@Z,graphics,17,ilk-range
?copyCacheToRam@StdSystem@@UAEXKKK@Z,graphics,24,link-order
?copyCacheToTexture@StdSystem@@UAEXPAVCacheTexture@@@Z,graphics,24,ilk-range
?copyRamToCache@StdSystem@@UAEKKKK@Z,graphics,24,link-order
?copyWaitUntilDone@StdSystem@@UAEXXZ,graphics,24,ilk-range
?cross@Vector3f@@QAEXAAV1@0@Z,graphics,25,ilk-range
?detach@GfxObject@@UAEXXZ,graphics,13,ilk-range
?detach@GfxobjInfo@@UAEXXZ,graphics,24,ilk-range
?dist@Plane@@QAEMAAVVector3f@@@Z,graphics,12,ilk-range
?distance@Vector3f@@QAEMAAV1@@Z,graphics,25,ilk-range
?div@Vector3f@@QAEXM@Z,graphics,25,ilk-range
?dot@Vector3f@@QAEMAAV1@@Z,graphics,25,ilk-range
?dup@String@@QAEPADXZ,graphics,17,ilk-range
?endLoading@StdSystem@@UAEXXZ,graphics,24,ilk-range
?equals@String@@SA_NPAD0@Z,graphics,17,ilk-range
?expandBound@BoundBox@@QAEXAAV1@@Z,graphics,11,ilk-range
?expandBound@BoundBox@@QAEXAAVVector3f@@@Z,graphics,11,ilk-range
?flush@Stream@@UAEXXZ,graphics,27,ilk-range
?genAge@Colour@@QAEXAAVAgeServer@@PAD@Z,graphics,12,ilk-range
?genAge@CoreNode@@UAEXAAVAgeServer@@@Z,node,24,ilk-range
?genAge@Vector3f@@QAEXAAVAgeServer@@PADAAV1@2@Z,sysMath,25,ilk-range
?genRead@CoreNode@@QAEXAAVAgeServer@@@Z,node,24,ilk-range
?genWrite@CoreNode@@QAEXAAVAgeServer@@@Z,node,24,ilk-range
?getAgeNodeType@ANode@@UAEHXZ,graphics,24,ilk-range
?getAtxRouter@System@@QAEPAVAtxRouter@@XZ,graphics,24,ilk-range
?getClosing@Stream@@UAE_NXZ,graphics,27,ilk-range
?getCollTris@BaseShape@@QAEPAVCollGroup@@AAVVector3f@@@Z,graphics,11,ilk-range
?getColour@Material@@QAEAAVColour@@XZ,graphics,11,link-order
?getColumn@Matrix4f@@QAEXHAAVVector3f@@@Z,graphics,25,ilk-range
