rva,kind,size,name_mangled,name,source
0x00002405,thunk,5,?genVectorZ@Quat@@QAEXAAVVector3f@@@Z,Quat::genVectorZ(Vector3f &),ida
0x0000240a,thunk,5,?equals@String@@SA_NPAD0@Z,"String::equals(char *,char *)",ida
0x0000240f,thunk,5,?getSubStickX@Controller@@QAEMXZ,Controller::getSubStickX(void),ida
0x00002414,thunk,5,?isSame@Vector3f@@QAE_NAAV1@@Z,Vector3f::isSame(Vector3f &),ida
0x00002419,thunk,5,?getPosition@BufferedStream@@UAEHXZ,BufferedStream::getPosition(void),ida
0x0000241e,thunk,5,?writeInt@Stream@@UAEXH@Z,Stream::writeInt(int),ida
0x00002423,thunk,5,??0CullingPlane@@QAE@XZ,CullingPlane::CullingPlane(void),ida
0x00002428,thunk,5,?concat@Node@@UAEXAAVSRT@@@Z,Node::concat(SRT &),ida
0x0000242d,thunk,5,?initFrame@UIWindow@@QAEXPAV1@HHH_N@Z,"UIWindow::initFrame(UIWindow *,int,int,int,bool)",ida
0x00002432,thunk,5,?readPropValue@AgeServer@@QAEXW4PROP_TYPE@@PAX@Z,"AgeServer::readPropValue(PROP_TYPE,void *)",ida
0x00002437,thunk,5,?calcLookAt@CullFrustum@@QAEXAAVVector3f@@0PAV2@@Z,"CullFrustum::calcLookAt(Vector3f &,Vector3f &,Vector3f *)",ida
0x0000243c,thunk,5,?refresh@Light@@QAEXAAVGraphics@@PAVLFlareGroup@@@Z,"Light::refresh(Graphics &,LFlareGroup *)",ida
0x00002441,thunk,5,?getChildCount@CoreNode@@QAEHXZ,CoreNode::getChildCount(void),ida
0x00002446,thunk,5,??0SplitBar@@QAE@PAVUIWindow@@0KH@Z,"SplitBar::SplitBar(UIWindow *,UIWindow *,ulong,int)",ida
0x0000244b,thunk,5,?getAlpha@Texture@@QAE_EHH@Z,"Texture::getAlpha(int,int)",ida
0x00002450,thunk,5,??4GfxInfo@@QAEAAV0@ABV0@@Z,GfxInfo::operator=(GfxInfo const &),ida
0x00002455,thunk,5,,sub_10002455,ida
0x0000245a,thunk,5,?Name@CoreNode@@QAEPADXZ,CoreNode::Name(void),ida
0x0000245f,thunk,5,?genVectorX@Quat@@QAEXAAVVector3f@@@Z,Quat::genVectorX(Vector3f &),ida
0x00002464,thunk,5,?update@LightDataInfo@@QAEXM@Z,LightDataInfo::update(float),ida
0x00002469,thunk,5,?attach@TexobjInfo@@UAEXXZ,TexobjInfo::attach(void),ida
0x0000246e,thunk,5,?getVerticalFilter@Graphics@@UAEXPA_E@Z,Graphics::getVerticalFilter(unsigned __int8 *),ida
0x00002473,thunk,5,??0ObjMgr@@QAE@ABV0@@Z,ObjMgr::ObjMgr(ObjMgr const &),ida
0x00002478,thunk,5,??0RamStream@@QAE@PAXH@Z,"RamStream::RamStream(void *,int)",ida
0x0000247d,thunk,5,?RegisterGenWindowClass@UIMgr@@QAEXPADPAX_N@Z,"UIMgr::RegisterGenWindowClass(char *,void *,bool)",ida
0x00002482,thunk,5,??0RandomAccessStream@@QAE@ABV0@@Z,RandomAccessStream::RandomAccessStream(RandomAccessStream const &),ida
0x00002487,thunk,5,?calcSphereLighting@Graphics@@QAEHAAVVector3f@@M@Z,"Graphics::calcSphereLighting(Vector3f &,float)",ida
0x0000248c,thunk,5,?setLength@RamStream@@UAEXH@Z,RamStream::setLength(int),ida
0x00002491,thunk,5,??0CmdStream@@QAE@XZ,CmdStream::CmdStream(void),ida
0x00002496,thunk,5,?calcJointWorldDir@BaseShape@@QAEXAAVGraphics@@HAAVVector3f@@@Z,"BaseShape::calcJointWorldDir(Graphics &,int,Vector3f &)",ida
0x0000249b,thunk,5,??0ID32@@QAE@XZ,ID32::ID32(void),ida
0x000024a0,thunk,5,?setPosition@AtxFileStream@@UAEXH@Z,AtxFileStream::setPosition(int),ida
0x000024a5,thunk,5,??YMatrix3f@@QAEAAV0@ABV0@@Z,Matrix3f::operator+=(Matrix3f const &),ida
0x000024aa,thunk,5,?countMaterials@BaseShape@@QAEXPAVJoint@@_I@Z,"BaseShape::countMaterials(Joint *,unsigned __int32)",ida
0x000024af,thunk,5,?update@Node@@UAEXXZ,Node::update(void),ida
0x000024b4,thunk,5,??4Stream@@QAEAAV0@ABV0@@Z,Stream::operator=(Stream const &),ida
0x000024b9,thunk,5,?rotate@Vector3f@@QAEXAAVMatrix4f@@@Z,Vector3f::rotate(Matrix4f &),ida
0x000024be,thunk,5,,sub_100024BE,ida
0x000024c3,thunk,5,??4SRT@@QAEAAV0@ABV0@@Z,SRT::operator=(SRT const &),ida
0x000024c8,thunk,5,?NewLabel@AgeServer@@QAEXPAD@Z,AgeServer::NewLabel(char *),ida
0x000024cd,thunk,5,??1UIMgr@@QAE@XZ,UIMgr::~UIMgr(void),ida
0x000024d2,thunk,5,?checkStack@AyuStack@@QAEXXZ,AyuStack::checkStack(void),ida
0x000024d7,thunk,5,??4PVWPeInfo@@QAEAAV0@ABV0@@Z,PVWPeInfo::operator=(PVWPeInfo const &),ida
0x000024dc,thunk,5,?exportData@DispList@@QAEXAAVRandomAccessStream@@_I@Z,"DispList::exportData(RandomAccessStream &,unsigned __int32)",ida
0x000024e1,thunk,5,?init@String@@QAEXPAD@Z,String::init(char *),ida
0x000024e6,thunk,5,?refreshWindow@UIWindow@@UAEXXZ,UIWindow::refreshWindow(void),ida
0x000024eb,thunk,5,??0ID32@@QAE@_I@Z,ID32::ID32(unsigned __int32),ida
0x000024f0,thunk,5,??1NodeMgr@@QAE@XZ,NodeMgr::~NodeMgr(void),ida
0x000024f5,thunk,5,??4ClassicScalingSystem@@QAEAAV0@ABV0@@Z,ClassicScalingSystem::operator=(ClassicScalingSystem const &),ida
0x000024fa,thunk,5,?write@Material@@UAEXAAVRandomAccessStream@@@Z,Material::write(RandomAccessStream &),ida
0x000024ff,thunk,5,?findModule@ModuleMgr@@QAEPAVModule@@PAD@Z,ModuleMgr::findModule(char *),ida
0x00002504,thunk,5,,sub_10002504,ida
0x00002509,thunk,5,,sub_10002509,ida
0x0000250e,thunk,5,??0BufferedStream@@QAE@XZ,BufferedStream::BufferedStream(void),ida
0x00002513,thunk,5,??0CullFrustum@@QAE@XZ,CullFrustum::CullFrustum(void),ida
0x00002518,thunk,5,?sndPlaySe@System@@UAEX_I@Z,System::sndPlaySe(unsigned __int32),ida
0x0000251d,thunk,5,??4RectArea@@QAEAAV0@ABV0@@Z,RectArea::operator=(RectArea const &),ida
0x00002522,thunk,5,??0PVWTextureData@@QAE@XZ,PVWTextureData::PVWTextureData(void),ida
0x00002527,thunk,5,?resetPending@StdSystem@@QAE_NXZ,StdSystem::resetPending(void),ida
0x0000252c,thunk,5,??0HorzSplitBar@@QAE@PAVUIWindow@@0KH@Z,"HorzSplitBar::HorzSplitBar(UIWindow *,UIWindow *,ulong,int)",ida
0x00002531,thunk,5,?rotateTo@Vector3f@@QAEXAAVMatrix4f@@AAV1@@Z,"Vector3f::rotateTo(Matrix4f &,Vector3f &)",ida
0x00002536,thunk,5,??4ShpobjInfo@@QAEAAV0@ABV0@@Z,ShpobjInfo::operator=(ShpobjInfo const &),ida
0x0000253b,thunk,5,,sub_1000253B,ida
0x00002540,thunk,5,??0MatPoly@Joint@@QAE@ABV01@@Z,Joint::MatPoly::MatPoly(Joint::MatPoly const &),ida
0x00002545,thunk,5,?releaseIndex@AyuCache@@QAEXH@Z,AyuCache::releaseIndex(int),ida
0x0000254a,thunk,5,?read@PVWKeyInfoU8@@QAEXAAVRandomAccessStream@@@Z,PVWKeyInfoU8::read(RandomAccessStream &),ida
0x0000254f,thunk,5,?expandBound@BoundBox@@QAEXAAV1@@Z,BoundBox::expandBound(BoundBox &),ida
0x00002554,thunk,5,?msgCommand@BaseShape@@UAEXAAVDataMsg@@@Z,BaseShape::msgCommand(DataMsg &),ida
0x00002559,thunk,5,??0AppWindow@@QAE@PAVUIWindow@@HHH_N@Z,"AppWindow::AppWindow(UIWindow *,int,int,int,bool)",ida
0x0000255e,thunk,5,?concat@Node@@UAEXXZ,Node::concat(void),ida
0x00002563,thunk,5,??1Module@@QAE@XZ,Module::~Module(void),ida
0x00002568,thunk,5,?setTexture@Font@@QAEXPAVTexture@@HH@Z,"Font::setTexture(Texture *,int,int)",ida
0x0000256d,thunk,5,??0AyuHeap@@QAE@XZ,AyuHeap::AyuHeap(void),ida
0x00002572,thunk,5,?isConnected@AtxDirectRouter@@UAE_NXZ,AtxDirectRouter::isConnected(void),ida
0x00002577,thunk,5,?rotate@Vector3f@@QAEXAAVQuat@@@Z,Vector3f::rotate(Quat &),ida
0x0000257c,thunk,5,?connect@WSocket@@QAEXXZ,WSocket::connect(void),ida
0x00002581,thunk,5,,sub_10002581,ida
0x00002586,thunk,5,??0SRTNode@@QAE@PAD@Z,SRTNode::SRTNode(char *),ida
